PHONEID,DEVICE_NAME,ANDROID_VER
0,Celkon A27,4.0.4(6577)
1,GT-I8160,2.3.6
2,GT-I8160,4.1.2
3,GT-I9100,4.0.4
4,GT-I9300,4.1.2
5,GT-I9505,4.2.2
6,GT-S5360,2.3.6
7,GT-S6500,2.3.6
8,Galaxy Nexus,4.2.2
9,Galaxy Nexus,4.3
10,HTC Desire HD,2.3.5
11,HTC One,4.1.2
12,HTC One,4.2.2
13,HTC Wildfire S,2.3.5
14,LT22i,4.0.4
15,LT22i,4.1.2
16,LT26i,4.0.4
17,M1005D,4.0.4
18,MT11i,2.3.4
19,Nexus 4,4.2.2
20,Nexus 4,4.3
21,Nexus S,4.1.2
22,Orange Monte Carlo,2.3.5
23,Transformer TF101,4.0.3
24,bq Curie,4.1.1
